Time,Device ID,Visible Light (lm),IR (lm),UV (UV Index),CO2 (ppm),Temperature (°C),Humidity (%),Dust (µg/m3),Noise (0-1023)
3/15/2021 12:08:05,yssmote2,261,268,0,446.6,31.5,62,23,566
3/15/2021 12:22:30,yssmote1,290,687,0,415.2,32.5,60,16,529
3/15/2021 12:35:48,yssmote5,273,553,0,463.7,34.1,61,20,581
3/15/2021 12:44:25,yssmote3,262,275,0,315.6,32.7,59,17,575
3/15/2021 12:57:43,yssmote4,264,282,0,377.6,31.3,61.5,23,589
3/15/2021 13:08:07,yssmote2,260,269,0,0,30.4,63.5,19,33
3/15/2021 13:22:31,yssmote1,270,397,0,0,33.5,55.5,9,21
3/15/2021 13:35:49,yssmote5,260,274,0,0,32.1,59.5,23,17
3/15/2021 13:44:27,yssmote3,261,257,0,51.3,29.3,70.5,13,18
3/15/2021 13:57:45,yssmote4,262,259,0,123.3,28.4,73,17,21
3/15/2021 14:08:07,yssmote2,260,269,0,0,28.5,76.5,25,27
3/15/2021 14:22:31,yssmote1,266,306,0,0,30.1,69,19,36
3/15/2021 14:35:50,yssmote5,262,269,0,0,26.6,86,22,35
3/15/2021 15:08:08,yssmote2,260,269,0,0,27.2,78.5,14,29
3/15/2021 15:22:32,yssmote1,266,305,0,0,28.1,73.5,4,22
3/15/2021 15:35:50,yssmote5,263,278,0,0,25.3,91,26,16
3/15/2021 16:08:09,yssmote2,260,269,0,0,27.7,79.5,19,23
3/15/2021 16:19:44,yssmote3,0,0,0,368.6,31,67.5,17,563
3/15/2021 16:22:33,yssmote1,269,331,0,0,28.6,73,13,17
3/15/2021 16:22:58,yssmote4,262,260,0,372.5,30.3,68,17,576
3/15/2021 16:35:51,yssmote5,264,282,0,0,26.1,92,20,17
3/15/2021 17:08:10,yssmote2,260,269,0,0,27.4,72.5,7,21
3/15/2021 17:19:45,yssmote3,0,0,0,0,28,71,3,18
3/15/2021 17:22:34,yssmote1,275,426,0,0,28.9,69,1,26
3/15/2021 17:22:59,yssmote4,265,274,0,33,27.7,71.5,17,19
3/15/2021 17:35:52,yssmote5,263,296,0,0,26,93.5,33,24
3/15/2021 18:08:10,yssmote2,260,269,0,0,27.8,76,20,18
3/15/2021 18:19:45,yssmote3,0,0,0,0,28.3,74,8,20
3/15/2021 18:22:34,yssmote1,267,341,0,0,28.9,72,16,25
3/15/2021 18:35:52,yssmote5,261,269,0,0,27.2,93.5,67,11
3/15/2021 19:08:11,yssmote2,260,269,0,0,28.1,76.5,11,23
3/15/2021 19:19:46,yssmote3,0,0,0,0,28.3,75.5,41,18
3/15/2021 19:22:35,yssmote1,261,254,0,0,28.3,74,8,24
3/15/2021 19:35:53,yssmote5,260,253,0,0,27.3,93.5,33,12
3/15/2021 20:08:12,yssmote2,260,269,0,0,27.9,76.5,23,47
3/15/2021 20:19:47,yssmote3,0,0,0,0,28.2,75.5,11,20
3/15/2021 20:22:36,yssmote1,262,254,0,0,28,75.5,16,22
3/15/2021 20:35:54,yssmote5,261,254,0,0,27.1,94,42,17
3/15/2021 21:08:12,yssmote2,260,269,0,0,27.8,77.5,19,21
3/15/2021 21:19:48,yssmote3,0,0,0,0,28.1,76.5,19,13
3/15/2021 21:22:36,yssmote1,260,253,0,0,27.7,77,7,20
3/15/2021 22:08:13,yssmote2,260,269,0,0,27.7,78,23,20
3/15/2021 22:19:48,yssmote3,0,0,0,0,28.1,76.5,23,16
3/15/2021 22:22:37,yssmote1,261,254,0,0,27.7,77.5,19,19
3/15/2021 23:08:14,yssmote2,260,269,0,0,27.6,78,23,24
3/15/2021 23:19:49,yssmote3,0,0,0,0,28,77.5,11,18
3/15/2021 23:22:38,yssmote1,261,253,0,0,27.5,78,13,26
3/16/2021 0:08:14,yssmote2,260,269,0,0,27.6,79,23,13
3/16/2021 0:19:50,yssmote3,0,0,0,0,27.9,77.5,22,18
3/16/2021 0:22:39,yssmote1,263,254,0,0,27.4,78.5,26,24
3/16/2021 1:08:15,yssmote2,260,269,0,0,27.5,79,29,14
3/16/2021 1:19:51,yssmote3,0,0,0,0,27.9,78,5,17
3/16/2021 1:22:39,yssmote1,262,254,0,0,27.3,79,13,22
3/16/2021 2:08:16,yssmote2,260,269,0,0,27.4,80,20,17
3/16/2021 2:19:51,yssmote3,0,0,0,0,27.7,78.5,16,14
3/16/2021 2:22:40,yssmote1,261,253,0,0,27.1,80,13,18
3/16/2021 3:08:17,yssmote2,260,269,0,0,27.2,80.5,17,15
3/16/2021 3:19:52,yssmote3,0,0,0,0,27.6,79,14,14
3/16/2021 3:22:41,yssmote1,262,253,0,0,26.8,81,19,25
3/16/2021 4:08:17,yssmote2,260,269,0,0,27.2,80,28,18
3/16/2021 4:19:53,yssmote3,0,0,0,0,27.7,79,32,16
3/16/2021 4:22:41,yssmote1,260,255,0,0,27,80.5,23,21
3/16/2021 5:19:53,yssmote3,0,0,0,0,27.5,79,30,14
3/16/2021 5:22:42,yssmote1,260,255,0,0,26.7,81,25,18
3/16/2021 6:08:19,yssmote2,260,269,0,0,27,80.5,32,17
3/16/2021 6:19:54,yssmote3,0,0,0,0,27.4,79.5,37,13
3/16/2021 6:22:43,yssmote1,262,254,0,0,26.7,81.5,23,23
3/16/2021 7:19:55,yssmote3,0,0,0,0,27.5,79.5,36,26
3/16/2021 7:22:44,yssmote1,263,264,0,0,26.7,81.5,20,35
3/16/2021 8:08:20,yssmote2,260,269,0,0,27.1,81,29,25
3/16/2021 8:19:56,yssmote3,0,0,0,0,27.6,79.5,42,14
3/16/2021 8:22:44,yssmote1,275,415,0,0,27.7,79.5,11,24
3/16/2021 9:08:21,yssmote2,260,269,0,0,27.6,80,32,24
3/16/2021 9:19:56,yssmote3,0,0,0,0,27.8,79,16,22
3/16/2021 9:22:45,yssmote1,293,649,0,0,30.2,72,9,20
3/16/2021 10:08:22,yssmote2,260,269,0,0,28.4,76,20,17
3/16/2021 10:19:57,yssmote3,0,0,0,0,28.2,77,19,27
3/16/2021 10:22:46,yssmote1,302,796,0,0,32,66,17,26
3/16/2021 11:08:22,yssmote2,260,269,0,0,29.1,72,17,17
3/16/2021 13:47:33,yssmote4,265,284,0,418.2,32.2,58.5,19,575
3/16/2021 13:52:01,yssmote4,264,288,0,335.1,31.4,61,19,590
3/16/2021 14:20:00,yssmote3,0,0,0,5.1,29.8,69.5,8,19
3/16/2021 14:22:49,yssmote1,298,817,0,0,34.7,54.5,2,28
3/16/2021 15:20:01,yssmote3,0,0,0,7.7,30.3,66.5,8,21
3/16/2021 15:58:29,yssmote5,266,330,0,471.4,36,52,24,543
3/16/2021 16:20:01,yssmote3,0,0,0,0,29.5,72.5,26,22
3/16/2021 16:22:50,yssmote1,264,298,0,0,31.1,64,29,23
3/16/2021 17:20:02,yssmote3,0,0,0,0,29,76,31,14
3/16/2021 18:20:03,yssmote3,0,0,0,8.1,29,72.5,8,29
3/16/2021 19:20:04,yssmote3,0,0,0,0,28.8,72,10,15
3/16/2021 20:20:04,yssmote3,0,0,0,0,28.7,73.5,11,14
3/16/2021 20:22:53,yssmote1,259,253,0,0,28.8,72,7,26
3/16/2021 21:20:05,yssmote3,0,0,0,0,28.6,75,5,36
3/16/2021 22:20:06,yssmote3,0,0,0,0,28.5,76.5,21,22
