Time,Device ID,Visible Light (lm),IR (lm),UV (UV Index),CO2 (ppm),Temperature (°C),Humidity (%),Dust (µg/m3),Noise (0-1023)
7/1/2021,yssmote4,263,287,0,300.8,30.5,66.5,11,581
7/1/2021,yssmote4,262,288,0,200.9,30.4,71,14,30
7/1/2021,yssmote4,264,289,0,166.9,30.6,68,7,18
7/1/2021,yssmote4,262,271,0,128.9,30.6,68.5,14,27
7/1/2021,yssmote4,263,295,0,183.3,30.7,66.5,6,25
7/1/2021,yssmote4,262,272,0,199,30.8,64.5,3,21
7/1/2021,yssmote4,261,257,0,180.1,30.6,65,8,20
7/1/2021,yssmote4,261,254,0,156.8,30.2,69,9,25
7/1/2021,yssmote4,261,254,0,0,30,69.5,11,23
7/1/2021,yssmote4,262,254,0,163.3,29.8,71.5,9,17
7/1/2021,yssmote4,260,253,0,146.8,29.6,73,1,23
7/1/2021,yssmote4,261,253,0,127.2,29.5,74,1,19
7/2/2021,yssmote4,260,254,0,114.4,29.5,73,8,16
7/2/2021,yssmote4,261,253,0,112.6,29.4,73,3,20
7/2/2021,yssmote4,261,252,0,163.7,29.4,74.5,1,24
7/2/2021,yssmote4,261,253,0,115.3,29.3,76,1,17
7/2/2021,yssmote4,262,253,0,159.7,29.2,77,11,18
7/2/2021,yssmote4,261,253,0,106.1,29.2,77.5,7,15
7/2/2021,yssmote4,260,253,0,83.5,29.1,77.5,1,14
7/12/2021,yssmote4,262,275,0,444.5,31.9,63.5,16,592
7/12/2021,yssmote4,263,265,0,393.4,31.5,64,13,569
7/12/2021,yssmote4,263,275,0,367.7,31.1,64.5,14,601
7/14/2021,yssmote4,263,262,0,311.6,26.2,86,31,584
7/14/2021,yssmote4,265,267,0,0,26.5,85,29,27
7/14/2021,yssmote4,264,265,0,19.7,27,82,23,101
7/14/2021,yssmote4,260,264,0,32.3,27.2,81,22,18
7/14/2021,yssmote4,262,264,0,33.2,27.2,81,19,30
7/14/2021,yssmote4,261,261,0,51.2,27.4,79,14,25
7/14/2021,yssmote4,260,258,0,66.2,27.3,79,16,29
7/14/2021,yssmote4,260,256,0,80,27.3,80,14,23
7/14/2021,yssmote4,261,254,0,50.6,27.3,80,17,25
7/14/2021,yssmote4,261,253,0,46.2,27.1,81.5,17,26
7/14/2021,yssmote4,260,254,0,8.9,26.9,83.5,19,28
7/14/2021,yssmote4,261,253,0,1.2,26.8,84.5,14,21
7/14/2021,yssmote4,260,254,0,0,26.8,85,17,20
7/14/2021,yssmote4,260,253,0,0,26.7,85.5,26,19
7/19/2021,yssmote1,261,254,0,281.9,29.2,75,19,19
7/19/2021,yssmote1,260,254,0,323.6,29,76.5,20,21
7/20/2021,yssmote1,261,253,0,320.2,28.7,79.5,34,24
7/20/2021,yssmote1,261,253,0,324.5,28.3,82.5,26,25
7/20/2021,yssmote1,273,393,0,357.7,29.1,81.5,26,24
7/20/2021,yssmote1,283,497,0,297.3,30.4,79,10,24
7/20/2021,yssmote1,311,857,0,291.4,32.9,71,19,23
7/28/2021,yssmote1,260,309,0,272.3,34.8,57.5,7,33
7/29/2021,yssmote1,260,309,0,306.3,31.7,68,29,18
7/29/2021,yssmote1,260,309,0,260.8,31.3,57,33,24
