Time,Device ID,Visible Light (lm),UV (UV Index),CO2 (ppm),Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (m/s),Wind Dir,Wind Dir (Degrees)
8/12/2021 9:49:24,mote3,52,0,302.3,36.6,57,0,0.134112,8,225
8/12/2021 9:57:50,mote1,185,0,547.2,36.1,60,0,0,5,110
8/12/2021 10:08:27,mote5,35,0,396.5,39.9,47,0,0,4,235
8/12/2021 10:52:37,mote4,16,0,468.2,36.3,56,0,0,8,40
8/12/2021 10:57:09,mote2,42,0,443.1,32.8,65.5,0,0.134112,5,75
8/12/2021 12:08:28,mote5,28,0,154.2,38.9,45.5,0,0,3,190
8/12/2021 14:52:39,mote4,14,0,364.4,31.2,67,0,0,1,85
8/12/2021 17:49:26,mote3,28,0,494.3,32.6,59,0,0,7,180
8/12/2021 19:49:27,mote3,14,0,492.7,29.4,69,0,0.134112,7,180
8/12/2021 19:57:53,mote1,12,0,792.6,29.5,74,0,0,7,200
8/12/2021 20:57:11,mote2,11,0,483.4,28.6,69,0,0,5,75
8/13/2021 2:57:12,mote2,11,0,454,27.8,81.5,0,0,5,75
8/13/2021 4:08:31,mote5,9,0,202.4,28.1,82,0,0,4,235
8/13/2021 6:08:31,mote5,11,0,386.1,26.7,87,0,0,1,100
8/13/2021 6:52:42,mote4,11,0,466.6,26.8,88.5,0,0,1,85
8/13/2021 8:52:42,mote4,13,0,416.5,28.8,79.5,0,0,7,355
8/13/2021 11:57:56,mote1,195,1,770.6,39.1,51.5,0,0.134112,0,N/A
8/13/2021 12:57:14,mote2,43,0,460,30.8,69.5,0,0,0,N/A
8/13/2021 13:57:56,mote1,89,0,773.5,31,70.5,0,0,6,165
8/13/2021 20:08:34,mote5,12,0,191.9,28.5,76.5,0,0,2,145
8/13/2021 22:08:35,mote5,10,0,191.2,28,81,0,0.134112,5,280
8/13/2021 22:52:45,mote4,12,0,416.6,28,81.5,0,0.134112,8,40
8/14/2021 0:52:46,mote4,13,0,411.7,27.9,82,0,0.268224,2,130
8/14/2021 1:49:34,mote3,12,0,519.3,27.3,82,0,0.268224,7,180
8/14/2021 2:08:35,mote5,9,0,201.1,27.9,81.5,0,0,4,235
8/14/2021 3:49:34,mote3,10,0,566.7,27,84,0,0,7,180
8/14/2021 3:57:59,mote1,11,0,758.6,27.4,87,0,0,5,110
8/14/2021 4:52:47,mote4,11,0,397.4,27.6,84.5,0,0,1,85
8/14/2021 4:57:17,mote2,11,0,504.5,27.1,86.5,0,0,5,75
8/14/2021 6:57:18,mote2,11,0,449.2,26.9,88,0,0,6,130
8/14/2021 9:58:00,mote1,117,0,776.1,35.3,57.5,0,0,5,110
8/14/2021 12:08:37,mote5,17,0,182.5,35.6,52,0,0.134112,1,100
8/14/2021 14:52:49,mote4,15,0,412.9,38.5,46,0,0,8,40
8/14/2021 17:49:37,mote3,14,0,521.9,26.8,80,0,0.134112,8,225
8/14/2021 18:08:39,mote5,12,0,173.8,27.6,81,0,0.134112,7,10
8/14/2021 19:49:38,mote3,10,0,562.2,26.7,84,0,0,7,180
8/14/2021 19:58:02,mote1,13,0,789,27.4,85.5,0,0,5,110
8/14/2021 20:57:21,mote2,11,0,462.6,27.4,81.5,0,0,5,75
8/14/2021 21:58:02,mote1,11,0,770.3,27.6,81,0,0,5,110
8/15/2021 1:58:03,mote1,13,0,779.5,27.5,81.5,0,0,1,290
8/15/2021 2:57:22,mote2,12,0,466.6,27.3,81,0,0,6,130
8/15/2021 4:08:40,mote5,10,0,250.8,26.9,85,0,0,2,145
8/15/2021 6:52:52,mote4,12,0,427.3,26.3,88,0,0.134112,2,130
8/15/2021 8:52:53,mote4,12,0,441.4,28.3,83,0,0,8,40
8/15/2021 9:49:41,mote3,55,0,502.1,39,53,0,0,1,270
8/15/2021 10:08:49,mote5,54,0,178.1,42.7,39.5,0,0,5,280
8/15/2021 11:58:05,mote1,203,1,783.1,41.4,45,0,0.268224,1,290
8/15/2021 12:08:42,mote5,25,0,148.2,40.6,41.5,0,0.581152,4,235
8/15/2021 12:52:54,mote4,12,0,404.7,34.1,56,0,0.134112,8,40
8/15/2021 12:57:24,mote2,52,0,502.4,32.8,61,0,0,4,30
8/15/2021 16:08:50,mote5,17,0,174.9,42.7,37,0,0.268224,0,N/A
